Price,Close
Ticker,GOOG
Date,
2023-01-03,89.27714538574219
2023-01-04,88.29180908203125
2023-01-05,86.36094665527344
2023-01-06,87.7444076538086
2023-01-09,88.38139343261719
2023-01-10,88.8193130493164
2023-01-11,91.8250732421875
2023-01-12,91.47672271728516
2023-01-13,92.3625259399414
2023-01-17,91.72554779052734
2023-01-18,91.34733581542969
2023-01-19,93.46729278564453
2023-01-20,98.81198120117188
2023-01-23,100.73287963867188
2023-01-24,98.7423095703125
2023-01-25,96.27400207519531
2023-01-26,98.69254302978516
2023-01-27,100.23523712158203
2023-01-30,97.48825073242188
2023-01-31,99.3991928100586
2023-02-01,100.95184326171875
2023-02-02,108.28710174560547
2023-02-03,104.7239761352539
2023-02-06,102.98223114013672
2023-02-07,107.53067779541016
2023-02-08,99.5285873413086
2023-02-09,95.0099868774414
2023-02-10,94.4128189086914
2023-02-13,94.55215454101562
2023-02-14,94.50239562988281
2023-02-15,96.64225006103516
2023-02-16,95.32848358154297
2023-02-17,94.14408874511719
2023-02-21,91.61607360839844
2023-02-22,91.36724853515625
2023-02-23,90.64068603515625
2023-02-24,88.92878723144531
2023-02-27,89.67525482177734
2023-02-28,89.87432098388672
2023-03-01,90.08332824707031
2023-03-02,91.87483215332031
2023-03-03,93.57677459716797
2023-03-06,95.1294174194336
2023-03-07,93.72606658935547
2023-03-08,94.20381164550781
2023-03-09,92.22319030761719
2023-03-10,90.58097076416016
2023-03-13,91.2279052734375
2023-03-14,93.80570220947266
2023-03-15,96.09485626220703
2023-03-16,100.59354400634766
2023-03-17,101.97698974609375
2023-03-20,101.44947814941406
2023-03-21,105.34104919433594
2023-03-22,103.72869873046875
2023-03-23,105.75907897949219
2023-03-24,105.56001281738281
2023-03-27,102.57415008544922
2023-03-28,100.88217163085938
2023-03-29,101.41963195800781
2023-03-30,100.84236145019531
2023-03-31,103.50973510742188
2023-04-03,104.41544342041016
2023-04-04,104.62445068359375
2023-04-05,104.45525360107422
2023-04-06,108.38662719726562
2023-04-10,106.4458236694336
2023-04-11,105.61973571777344
2023-04-12,104.7239761352539
2023-04-13,107.67998504638672
2023-04-14,108.9439926147461
2023-04-17,105.91832733154297
2023-04-18,104.62445068359375
2023-04-19,104.52491760253906
2023-04-20,105.40077209472656
2023-04-21,105.41072845458984
2023-04-24,106.27661895751953
2023-04-25,104.11685180664062
2023-04-26,103.95761108398438
2023-04-27,107.85912322998047
2023-04-28,107.7098388671875
2023-05-01,107.20223999023438
2023-05-02,105.48039245605469
2023-05-03,105.61973571777344
2023-05-04,104.71402740478516
2023-05-05,105.71427917480469
2023-05-08,107.72974395751953
2023-05-09,107.43115997314453
2023-05-10,111.75070190429688
2023-05-11,116.34892272949219
